tier,site_name,author,city,state,region,operator,best_contact,contact_email,phone,contact_url,online_store,wholesale_notes,fit_notes,melville_line_fits,status,outreach_status,notes
A,New Bedford Whaling Museum,Herman Melville,New Bedford,MA,New England,Old Dartmouth Historical Society,Email NBWMstore@whalingmuseum.org (verified on the store's own contact page),NBWMstore@whalingmuseum.org,508-997-0046,https://store.whalingmuseum.org/pages/contact-us,https://store.whalingmuseum.org/,"Buyer is the museum store team (Old Dartmouth Historical Society). Museum open daily 9-5; store currently doubles as the museum entrance during plaza renovations, so store traffic is at a maximum. Store carries apparel/tops+t-shirts and a Moby-Dick/Melville book section.","The single best Melville expansion target: hosts the world-famous 25-hour Moby-Dick Marathon each January and already sells Melville apparel lines, with a professional store team (dedicated email/extension). Proven demand for exactly this shop's Melville designs.",yes,open,,
A,Norman Rockwell Museum,Norman Rockwell (illustrator),Stockbridge,MA,New England,Norman Rockwell Museum (nonprofit),Store contact form at https://store.nrm.org/pages/contact or (800) 742-9450 (store office M-F 9-4 ET); no direct email published,,(800) 742-9450,https://store.nrm.org/pages/contact,https://store.nrm.org/,"Major professionally run museum store, physical (Thu-Tue 10-5, Stockbridge) plus substantial e-commerce (prints, fashion, books). Buying done in-house by museum retail staff. High Berkshires tourist traffic; illustration/Americana angle rather than author-lit.","Single-illustrator museum with the world's largest Rockwell collection, in the same Berkshires tourist corridor as Arrowhead (your existing customer — a useful reference sale). Large, professionally merchandised store that already sells totes and apparel-adjacent gifts.",,open,,
A,The Amazing World of Dr. Seuss Museum (Springfield Museums),Dr. Seuss (Theodor Geisel),Springfield,MA,New England,Springfield Museums,Email museumstore@springfieldmuseums.org (verified direct store email with dedicated store phone line),museumstore@springfieldmuseums.org,(413) 314-6464,https://springfieldmuseums.org/about/museum-store/,,"Hanmer Museum Store, open 7 days, already carries Dr. Seuss t-shirts, plush, and books plus handcrafted goods from outside makers — a strong fit signal. Buying done by Springfield Museums' own store staff. Note: Dr. Seuss items are licensed (Dr. Seuss Enterprises), so pitch non-infringing literary designs.","High-volume family destination within the five-museum Springfield quadrangle, with a professionally run store. Caveat: Dr. Seuss Enterprises licenses the IP tightly, so the pitch should be Geisel-as-Springfield-author themed designs rather than character art.",,open,,
A,The Eric Carle Museum of Picture Book Art,Eric Carle,Amherst,MA,New England,The Eric Carle Museum of Picture Book Art (nonprofit),"info@carlemuseum.org, asking to be routed to The Carle Shop buyer",info@carlemuseum.org,413-559-6300,https://carlemuseum.org/visit/plan-your-visit,https://shop.carlemuseum.org/,Open Wed–Sun. In-house Carle Shop (award-winning picture-book bookstore) plus Shopify online store; no public vendor page — route pitch through info@ to shop staff.,"40,000 sq ft national-draw museum for families and educators; the Bookshop already stocks apparel, totes, and gifts for book lovers — a literary/children's-author gift line fits its exact assortment. Carle artwork itself is licensed, so lead with general book-love and author-themed designs.",,open,,
A,The House of the Seven Gables,Nathaniel Hawthorne,Salem,MA,New England,The House of the Seven Gables Settlement Association,"Store Manager Everett Philbrook, direct line 978-306-7015; email intro via info@7gables.org",info@7gables.org,(978) 744-0991,https://7gables.org/contact/,https://7gables.org/visit/museum-store/ (online store temporarily closed for relaunch),"In-house museum store in the historic Retire Beckett House, open daily during museum hours (10-6 daily). Named store manager (Everett Philbrook) published with a direct phone line — pitch him directly. Major Salem tourist attraction; Hawthorne product is core to their identity. No published wholesale process.","Salem's tourism engine (hundreds of thousands of visitors, with an enormous October spike) and a professional org with dedicated marketing staff; Hawthorne is the store's core identity, and visitors routinely buy the novel on the way out.",,open,,
A,"The Mount, Edith Wharton's Home",Edith Wharton,Lenox,MA,New England,"Edith Wharton Restoration, Inc.","info@edithwharton.org, asking to be routed to the Bookstore (direct line 413-551-5118)",info@edithwharton.org,(413) 551-5118 (Bookstore direct); (413) 551-5111 (general),https://www.edithwharton.org/contact/,https://bookshop.org/shop/themountbookstore,"Bookstore and gift shop run in-house by Edith Wharton Restoration, Inc., with a dedicated published bookstore phone line. Seasonal operation (mansion tickets go on sale late April). Note: edithwharton.org blocks automated fetches on the /shop/ page but the site is fully operational.","Major Berkshires cultural destination (roughly 50,000+ visitors/season) in the same regional circuit as the Arrowhead customer — the shop is professionally staffed with its own retail phone line, and Wharton merchandise skews to exactly the literary-gift buyer.",,open,,
A,The Thoreau Society Shop at Walden Pond,Henry David Thoreau,Concord,MA,New England,"The Thoreau Society (501(c)(3)), in the Walden Pond State Reservation visitor center",Email info@shopatwaldenpond.org (verified on the shop's contact page),info@shopatwaldenpond.org,978-287-5477,https://www.shopatwaldenpond.org/Contact_Us_a/83.htm,https://www.shopatwaldenpond.org/,"Buying is done by The Thoreau Society (501c3), which operates the shop inside the Walden Pond State Reservation visitor center — very high foot traffic and already sells Thoreau apparel/quote tees, a strong product fit. Active Volusion e-commerce store.","Walden Pond draws roughly half a million visitors a year and this shop is the only retail at the site — apparel is already a core category, making a Thoreau tee line the strongest single-author fit on this list. Professionally run with its own e-commerce operation.",,open,,
A,"Whaling Museum, Nantucket Historical Association",Herman Melville (Moby-Dick / whaling heritage),Nantucket,MA,New England,Nantucket Historical Association,Email ask@nha.org (provided contact; nha.org blocks automated verification but shop and hours confirmed via search) asking for the museum shop buyer,ask@nha.org,(508) 228-1894,https://nha.org/museum-shop/,https://nantucketmuseumshop.org/,"Museum shop in the Hadwen & Barney Oil and Candle Factory building plus dedicated online store (100% of purchases support the NHA). Buyer is the Nantucket Historical Association retail operation — professionally run, heavy summer tourist traffic (open daily May 23-Oct 12, 2026).","Nantucket's premier attraction with intense affluent summer traffic; the Essex disaster that inspired Moby-Dick is the museum's central story, making Melville/whale designs a natural fit for an already professional, year-round retail operation.",yes,open,,
A,The Ernest Hemingway Home & Museum,Ernest Hemingway,Key West,FL,South,The Hemingway Home & Museum (private),Call the Bookstore direct line (305) 294-1575 — no retail email published (only gmail addresses for media/weddings); backup: contact form at hemingwayhome.com/contact,,(305) 294-1575 (Bookstore direct); (305) 294-1136 (main office),https://www.hemingwayhome.com/contact,https://www.hemingwayhome.com/store,"Private museum, open 365 days/year 9-5, one of Key West's highest-traffic attractions. Large in-house store (apparel, gifts, books) plus full online store — apparel is already a proven category for them. No published vendor process; pitch through the bookstore line.","One of the highest-traffic author house museums in America (hundreds of thousands of visitors a year in a cruise/tourist port); a large, professionally merchandised retail operation with e-commerce and shipping — the single biggest-volume prospect on this beat.",,open,,
A,Square Books (stockist prospect),William Faulkner (and Oxford's literary circle),Oxford,MS,South,Square Books (independent bookstore),Email books@squarebooks.com (verified on Square Books' contact page),books@squarebooks.com,662-236-2262,https://www.squarebooks.com/contact,https://squarebooks.com/list/store-merchandise,"Legendary four-storefront indie on the Oxford square since 1979, sells store merchandise and gifts alongside books. Site has explicit 'Consignment' and 'Work With Square Books' pages — a formal channel for outside vendors. Faulkner/Oxford literary tees are an obvious fit.","Not a museum but one of America's most famous independent bookstores, a block from the courthouse in Faulkner's hometown with massive literary-tourism footfall; it already designs and sells its own literary tees and totes, so it's a natural wholesale stockist for Faulkner-themed apparel.",,open,,
A,Charles M. Schulz Museum and Research Center,Charles M. Schulz,Santa Rosa,CA,West & Southwest,Charles M. Schulz Museum (nonprofit); Snoopy's Gallery & Gift Shop across the street,"museumstore@schulzmuseum.org — dedicated MUSEUM STORE email published on the contact page (store guest services: Elianna Elias, elianna@schulzmuseum.org)",museumstore@schulzmuseum.org,(707) 579-4452,https://schulzmuseum.org/about/contact/,https://charles-m-schulz-museum.myshopify.com/,"Professional museum store plus online Shopify store; Director of Business Operations Jackie Rader (707) 284-1266, jackie@schulzmuseum.org, is also published. Caveat: product is essentially all licensed Peanuts material — generic author-themed tees may be a hard sell; Snoopy's Gallery & Gift Shop across the street is a separate retail business.","Very high-traffic, professionally run retail for a single creator — but Peanuts imagery is tightly licensed by Peanuts Worldwide, so only non-infringing Schulz-the-author designs (portrait/quote-free-of-characters) would be viable; pitch carefully or deprioritize.",,open,,
A,City Lights Booksellers & Publishers,Lawrence Ferlinghetti and the Beat writers,San Francisco,CA,West & Southwest,"City Lights Books, Inc. (independent bookstore/publisher)",Email staff@citylights.com (their published general inbox; site is behind aggressive bot protection so on-page re-verification wasn't possible) and ask for the sidelines/merch buyer,staff@citylights.com,,https://citylights.com/contact-us/,https://citylights.com/merchandise-gifts/,"World-famous, fully operating independent bookstore/publisher. Primarily a book retailer — sidelines/merch space is limited and curated; a Beat/Ferlinghetti-specific pitch to the buyer is the only realistic path.","A literary landmark with massive year-round tourist foot traffic in North Beach that already merchandises itself with tees and totes — a proven buyer category for literary apparel, though they favor their own branding, so pitch author-themed (Ferlinghetti/Beat) designs. Not a museum, but exactly the 'literary merch stockist' profile.",,open,,
A,"San Francisco Maritime National Historical Park — The Maritime Store, Hyde Street Pier",Melville-adjacent maritime (Moby-Dick / sea literature),San Francisco,CA,West & Southwest,San Francisco Maritime National Park Association (the park's cooperating association and the actual wholesale buyer),The Maritime Store page at maritime.org/store/ (browse manually — the domain returns 403 to all automated fetches); or call park HQ 415-561-7000 and ask to be routed to the Park Association store,,415-561-7000 (park HQ),https://maritime.org/store/,https://maritime.org/store/,"The buyer is the San Francisco Maritime National Park Association (the park's cooperating association), not NPS. The park is operating, and maritime.org is live but hard-blocks bots, so the store's current status and contacts could not be verified this pass — confirm manually before pitching. High Fisherman's Wharf foot traffic if operating; Moby-Dick/sea-literature product fits their book-heavy store.","Fisherman's Wharf location gives it some of the highest walk-by tourist volume of any maritime bookstore in the country, and as a cooperating association it buys for multiple park outlets at once.",yes,open,,
A,"The Huntington Store (The Huntington Library, Art Museum, and Botanical Gardens)","Multi-author (rare books: Gutenberg Bible, Audubon, literary manuscripts)",San Marino,CA,West & Southwest,The Huntington,Email thestore@huntington.org (verified store-specific email),thestore@huntington.org,(626) 405-2142,https://thehuntingtonstore.org/pages/about-us,https://thehuntingtonstore.org/,"Large, professionally run institutional store (open 6 days + full e-commerce) with very high visitor traffic. Buying is by The Huntington's in-house retail team; no published vendor form — pitch the store email with a linesheet. Rare-books/literary angle fits their book-arts merchandise.","Roughly a million visitors a year and a large, professionally buyer-managed store; its library wing (Gutenberg Bible, Chaucer, Shakespeare folios) supports literary-themed product lines.",,open,,
A,The Library Store at the Los Angeles Central Library,Multi-author (library/book culture),Los Angeles,CA,West & Southwest,Library Foundation of Los Angeles,Email librarystore@lfla.org — dedicated store inbox verified on shop.lfla.org,librarystore@lfla.org,,https://shop.lfla.org/pages/contact-us,https://shop.lfla.org/,"Professionally run by the Library Foundation of Los Angeles, physical store open 7 days plus online shop. Known for stocking independent/local makers of book-culture goods — one of the best fits on this list for literary tees.","One of the best-regarded museum-quality retail shops in the library world, open seven days in downtown LA; heavy emphasis on locally designed literary apparel and totes makes it a natural indie-maker account.",,open,,
A,The Stanley Hotel (Chrysalis at The Stanley gift shop),Stephen King (The Shining),Estes Park,CO,West & Southwest,Chrysalis at The Stanley (official gift shop of the Stanley Hotel),Phone (970) 577-4013 (no email published; contact form at /contact-1 appeared partly broken during check),,(970) 577-4013,https://www.stanleyhotelgiftshop.com/contact-1,https://www.stanleyhotelgiftshop.com/,"Chrysalis is the official Stanley Hotel gift shop — a commercial retailer, not a museum nonprofit, with heavy year-round Shining-tourism traffic. Already sells 'Room 217'/haunted-themed apparel and souvenirs. Stephen King/The Shining marks are licensed (WB) — pitch literary-horror-adjacent originals.","Not a museum but a literary historic site with enormous foot traffic — the hotel that inspired The Shining runs paid tours year-round at the gateway to Rocky Mountain NP, and the shop is a slick, single-author-driven retail operation already selling King/Shining-themed goods. Designs must avoid Warner Bros. film imagery (book/hotel angle only).",,open,,
A,Bob Dylan Center,Bob Dylan,Tulsa,OK,West & Southwest,American Song Archives (George Kaiser Family Foundation),Email info@bobdylancenter.com (verified on bobdylancenter.com) and ask for the retail manager,info@bobdylancenter.com,918-392-3353,https://bobdylancenter.com/,https://shop.bobdylancenter.com/,"Professionally run (George Kaiser Family Foundation), open Wed-Sun with physical shop + online store. Heads-up: Dylan name/likeness is tightly licensed — pitch generic songwriter/literary designs, not Dylan imagery.","Dylan is a Nobel laureate in Literature and the store runs exclusive collaborations with outside makers, so indie wholesale is a proven pattern here — though Dylan imagery/name rights are managed, so designs need care. Shares a buyer relationship with the Woody Guthrie Center — pitch both in one approach.",,open,,
A,Woody Guthrie Center,Woody Guthrie,Tulsa,OK,West & Southwest,American Song Archives (George Kaiser Family Foundation),Email info@woodyguthriecenter.org (verified on site; ask for the retail/store manager),info@woodyguthriecenter.org,918-574-2710,https://woodyguthriecenter.org/,https://shop.woodyguthriecenter.org/,"Open (ticketed admission), physical shop plus dedicated online store subdomain. Professionally run and George Kaiser Family Foundation-backed, in Tulsa's arts district next to the Bob Dylan Center — a serious, well-funded retail buyer. 'This Machine' style merch culture = strong tee fit.","Guthrie wrote 'Bound for Glory' and the center already sources merch from local/indie vendors — an explicit opening for a small maker. Professionally run, well-funded (Kaiser Foundation) retail in Tulsa's busy arts district; same operator as the Bob Dylan Center next door.",,open,,
B,Edgar Allan Poe House & Museum,Edgar Allan Poe,Baltimore,MD,Mid-Atlantic,"Poe Baltimore, Inc.",poebaltimoremanager@gmail.com (manager email on official contact page),poebaltimoremanager@gmail.com,410-462-1763,https://www.poeinbaltimore.org/about-poe-baltimore/contact/,https://poe-baltimore-inc.square.site/,"Open weekly for tours (reservations required); runs a Square online shop. Buying by Poe Baltimore, Inc. (small nonprofit; director Enrica Jang). Strong thematic fit for Poe merchandise.",Strong Poe brand with the annual International Edgar Allan Poe Festival driving crowds; Poe Baltimore runs professional online retail and already sells Poe-themed apparel and keepsakes — near-identical profile to the proven Arrowhead customer.,,open,,
B,The Whaling Museum & Education Center,Melville-adjacent whaling heritage (Moby-Dick),Cold Spring Harbor,NY,Mid-Atlantic,The Whaling Museum & Education Center of Cold Spring Harbor,"store@cshwhalingmuseum.org — dedicated 'Museum Store Inquiries' email (staffed by Angela or Lisa, ext. 11)",store@cshwhalingmuseum.org,631-367-3418 ext. 11 (Museum Store),https://cshwhalingmuseum.org/contact.html,,Open Tue-Sun 11-4 (summer hours). Professionally staffed small museum with a published store-inquiries email — one of the cleanest pitch paths on the list. Moby-Dick/whaling-heritage product fits their identity.,Small but active Long Island whaling museum with school-group traffic and year-round programming; a modest but on-theme prospect for the Moby-Dick line.,yes,open,,
B,Walt Whitman Birthplace State Historic Site & Interpretive Center,Walt Whitman,Huntington Station,NY,Mid-Atlantic,Walt Whitman Birthplace Association (NY State Parks site),Email administrator@waltwhitman.org (verified on site; director@waltwhitman.org also on file from the research sweep),administrator@waltwhitman.org,631-427-5240,https://www.waltwhitman.org/,https://www.waltwhitman.org/shop/,Open daily in summer; museum shop confirmed (members get 10% shop discount). Buyer is the Walt Whitman Birthplace Association (staffed nonprofit operating the NY State Parks site). Whitman tees are an obvious fit.,"Year-round hours, paid admission, school groups and poetry programs on Long Island; association-run retail with existing online store — a clean single-author (Whitman) fit.",,open,,
B,August Wilson African American Cultural Center,August Wilson,Pittsburgh,PA,Mid-Atlantic,August Wilson African American Cultural Center (nonprofit),Contact form at https://awaacc.org/about/contact/ (no public email listed); phone 412-339-1011 option 2,,(412) 339-1011,https://awaacc.org/about/contact/,,"Center is open and professionally run (galleries, Cafe Ase), but no gift shop is referenced anywhere on the site — retail presence unverified. Confirm a shop exists before pitching; merch may be event/lobby-based.","Downtown Cultural District venue with free admission, heavy theater and exhibition traffic, honoring America's most-produced playwright; a professional cultural institution whose shop centers on one author's legacy.",,open,,
B,Pearl S. Buck House (Green Hills Farm),Pearl S. Buck,Perkasie,PA,Mid-Atlantic,Pearl S. Buck International,info@pearlsbuck.org,info@pearlsbuck.org,215-249-0100,https://pearlsbuck.org/visit-the-pearl-s-buck-house/house/,,Docent tours running; 'International Gift Shop' in the Welcome Center. Buying by Pearl S. Buck International (nonprofit); shop skews international/fair-trade goods — angle the pitch accordingly.,"National Historic Landmark estate with year-round tours, gardens, weddings and events in visitor-heavy Bucks County; established gift shop at a single-author site backed by a professional nonprofit.",,open,,
